"";"titulo"
"133";"November Meetup"
"134";"Year-end meetup"
"135";"February Meetup"
"136";"March meetup: Ethics in Data Science"
"137";"satRday lunch meetup"
"138";"May meetup: Intro to Spatial Statistics"
"139";"June Meetup: How to talk to business as a data scientist"
"140";"July meetup: Intro to Shiny"
"141";"August Meetup: Dysfunctional Bot - Generating Humorous Texts using spaCy"
"142";"September Meetup - Intro to writing your own Package in R"
"143";"Oct meetup: Survival analysis in R"
"144";"Nov meetup: Text Mining Using Tidy Data Principles"
"145";"Welcome and Meet & Greet"
"146";"Come plot with us!"
"147";"Sesión Introductoria R-Ladies Xalapa"
"148";"Visualización de datos I"
"149";"Visualización de Datos II"
"150";"Modelos estadísticos en R"
"151";"Introducción a R-Ladies Xalapa "
"152";"Visualización de Datos en R"
"153";"Introducción a Shinny App"
"154";"Introducción al análisis de texto en R"
"155";"Introducción a R-Ladies Xalapa"
"156";"Visualización de datos en R usando ggplot2"
"157";"¿Cómo hacer una función en R?"
"158";"Mesa de Trabajo 1. Agenda legislativa en favor de las niñas"
"159";"Mesa de Trabajo 2. Agenda legislativa en favor de las niñas"
"160";"Heatmaps + Potluck"
"161";"Primera reunión de R-Ladies Puebla!"
"162";"Segunda Reunion R-Ladies Puebla!"
"163";"Tercera Reunion R-Ladies Puebla!"
"164";"First meeting - meet and greet"
"165";"R Hacky (Happy) Hour"
"166";"Happy Hour/Tidy Tuesday Data Play/Tips and Tricks"
"167";"An evening with Jenny Bryan"
"168";"¡Primer evento de R-Ladies Madrid!"
"169";"R-Ladies Madrid: NLP para todas."
"170";"R-Ladies Madrid: Meetup data data data web! + Iniciación a rvest y httr"
"171";"R-Ladies Madrid: R + Negocios (¿quieres contarnos tu experiencia?)"
"172";"R-Ladies Madrid: R in Finance Industries"
"173";"R-Ladies + Geoinquietos: Visualización de mapas"
"174";"R-Ladies + AdaLab + OSWeekends"
"175";"Call Of Data"
"176";"R-Ladies Madrid: Recap y nuevos objetivos"
"177";"Presentación del nuevo curso + Contribuir a un proyecto Open Source"
"178";"R-Ladies + Ling<U+1E85>ars: Taller de minería de textos con R"
"179";"Intro R & Proyectos Rladies"
"180";"Pubquiz navideño R-Ladies + PyLadies + OSWeekends + HaskellMAD"
"181";"R-Ladies Madrid: Testeo y depuración con R"
"182";"Graph Analytics (hands-on) + Neo4j gRaphs (intro)"
"183";"Women Tech Communities Meetup"
"184";"Medio ambiente y salud: análisis con R"
"185";"R-Ladies Madrid: Medio ambiente y Flexdashboards con R!"
"186";"R-Ladies Madrid: retrospectiva y nuevos objetivos"
"187";"Git + GitHub + RStudio"
"188";"Introducción a R"
"189";"R-Ladies + NoLegalTech: Legal Analytics"
"190";"Pubquiz navideño R-Ladies + PyLadies + WiMLDS"
"191";"Despedida de nuestra amiga y compañera Karina"
"192";"R-Ladies Madrid: Taller de data.table"
"193";"Flexdashboards y trucos de R"
"194";"Happy Birthday Euler! Global Graph Celebration Day"
"195";"AWSSummit con PyLadies and WiMLDS"
"196";"Análisis de sentimiento con R-Ladies"
"197";"Introducción a exploración de datos con R"
"198";"R-Ladies Madrid + Grupo de usuarios de R: presentación del curso 2019-2020"
"199";"R-Ladies Madrid: Talk R in English"
"200";"R-Ladies en DevAcademy!"
"201";"PubQuiz 2019! <U+0001F384>"
"202";"Kickoff meeting R-ladies Lausanne"
"203";"Building a web application with Shiny"
"204";"R and Bayesian statistics "
"205";"ThundeR talks"
"206";"Creating reproducible analyses and reports with R Markdown"
"207";"ThundeR talks"
"208";"R conference movie time <U+0001F37F>"
"209";"Using R to assess Eye-tracking data when investigating Psychological Processes"
"210";"Collecting Twitter data with R"
"211";"Statistical inference in the tidyverse framework: the Infer package."
"212";"ThundeR talks"
"213";"Tidy up your data science workflow with the tidyverse"
"214";"Kick-off meeting R-Ladies Frankfurt"
"215";"#2 - Introduction to the tidyverse"
"216";"#3 - Data visualization in the Tidyverse: ggplot2"
"217";"#4 - Code together: From messy data to insightful visualizations"
"218";"#5 - Code together: From messy data to insightful visualizations - part 2"
"219";"#6: Let’s git together: Introduction to git with github and gitkraken"
"220";"#7: Hands-on linear regression in R: Packages for modelling and visualizing"
"221";"#8: R-Ladies Frankfurt: Christmas meetup "
"222";"Start-up meeting R-Ladies Berlin"
"223";"R-Ladies Berlin OrgaCrew Meet-Up"
"224";"#1: Hands-on data visualisation with ggplot2 & Guest R-Lady Taipei Mia"
"225";"#2 Hands-on Data Manipulation with dplyr & Intro to DRY Functional Programming"
"226";"#3 Hands-on Journocode meets R and R markdown"
"227";"open data, ok lab and nice summer night"
"228";"developing free and open-source software for disease outbreak response"
"229";"#4 - Hands-on Shiny - Lets make your analysis interactive!"
"230";"End of the year Orga meeting"
"231";"Kick off 2018"
"232";"Canceled - Moved to rstats-germany.slack.com! Hands-On - R-Studio and Github"
"233";"The Magic of Bootstrapping with R"
"234";"The Beauty of R Programming"
"235";"R-Ladies Berlin  - Crawling Twitter Data"
"236";"R-Ladies London visits R-Ladies Berlin"
"237";"Introduction to survival data analysis"
"238";"Hands-on training - R packages"
"239";"Join our Orga-Team-Meeting!"
"240";"R-Lady Riva from Santiago visits R-Ladies Berlin"
"241";"Hands-on - Text mining with Alison!"
"242";"Hands-on blogdown - How to create your first blog"
"243";"satRday Berlin"
"244";"Unleashing the power of biodiversity data - a visit from R-Ladies San Francisco"
"245";"Hands-on TidyTuesday"
"246";"Hands on: Docker containers. Rational and a tutorial walk through."
"247";"First Meet and Greet"
"248";"How to Teach R - Brainstorming"
"249";"Starting off in R and R-Studio"
"250";"Data Transformation and Introduction to Tidyverse"
"251";"Data Transformation and Introduction to Tidyverse"
"252";"Data Wrangling, Transformation and Communication"
"253";"Visualizing Geographical Data"
"254";"Thinking about and exploring data in R"
"255";"Modeling in R - Part One"
"256";"Modeling in R - Part Two"
"257";"Modeling in R - Part Three"
"258";"Analysing Twitter Data"
"259";"Kick-Off Meet and Greet!"
"260";"Happy Hour with R-Ladies Taipei"
"261";"Intro to Shiny and Web API Data"
"262";"Happy Hour!"
"263";"Spatial Data Visualizations"
"264";"Happy Hour!"
"265";"Blogging and Contributing to R Projects"
"266";"Workflow and Reproducibility in R"
"267";"July R-Ladies: Blogdown and Networking!"
"268";"August R-Ladies: Problem-solving with R packages, RStudio add-ins"
"269";"Data Science Portfolios"
"270";"Less-Traditional Uses of R and More!"
"271";"Use Cases and Careers: What folks are doing with R at work!"
"272";"Holiday Potluck"
"273";"Data Structures in R: Theory and Applications"
"274";"Intro to Shiny Workshop"
"275";"Women in Computing: History and Present"
"276";"Transition to Data Science"
"277";"Learning R and Building Community"
"278";"The Ministry of Silly Talks + SuperMeetup Social Hour"
"279";"R-Ladies Social in SLU"
"280";"Seattle Summer Lightning Talks!"
"281";"Code Reviews! Learn how to review code & submit code for review"
"282";"Happy Hour Hangout"
"283";"Spooky data stories"
"284";"Project-oriented workflows in R"
"285";"R-Ladies 2019 Hot Chocolate Happy Hour"
"286";"R configuration and purrr"
"287";"R-Ladies Belgrade: Networking and Social"
"288";"R Ladies Belgrade #2: Manipulacija podacima i vizualizacija "
"289";"Igranje sa podacima: Eksplorativna analiza otvorenih setova podataka "
"290";"R Ladies Belgrade #3: R&I predavanje + R Markdown radionica"
"291";"R for Data Science: Study group intro"
"292";"R for Data Science - Book Club #1"
"293";"R for Data Science - Book Club #2"
"294";"R for Data Science - Book Club #3"
"295";"R for Data Science - Book Club #4"
"296";"Meetup with RStudio's Hadley Wickham"
"297";"RStudio + GitHub meetup"
"298";"Survey Analysis meetup"
"299";"Regresiona analiza, GPS podaci i planovi za dalje"
