"";"titulo"
"603";"Shiny Showcase - Statistical Society of Australia"
"604";"Introduction to Statistics with R"
"605";"Joint Christmas Party with R-Ladies and PyLadies Brisbane!"
"606";"Kick-Off R-Ladies Utrecht!"
"607";"First meeting of R-Ladies Wageningen!"
"608";"2nd R-Ladies Wageningen meetup "
"609";"How to become a real-life data scientist "
"610";"R vs Python battle, or not? + Customer segmentation using k-MEANS and SOM!"
"611";"From scientist to data scientist +  Level-up your clustering with shape analysis"
"612";"Spatial visualization in R + business analytics!"
"613";"R-Ladies! Let's open the ball!"
"614";"First of 2019!"
"615";"April is Shiny!"
"616";"Approaching Natural Language Processing"
"617";"Exploration of Big Data and Machine Learning in Healthcare"
"618";"Leverage on Machine Learning for Customer Retention!"
"619";"Adding external images to plots - First RLadies Oslo meetup!"
"620";"Hands-on intro to SQL and R with Steph Locke"
"621";"Topic modelling - what is it, and how does VG use it?"
"622";"Building shiny dashboards - with Aurora and Lene"
"623";"Bayesian methods for rank and preference data with Valeria Vitelli"
"624";"Data tidying with dplyr and tidyr - with Athanasia Monika Mowinckel"
"625";"Lightning talks with RLadies Oslo - inspire and be inspired!"
"626";"TidyTuesday - with RLadies Oslo"
"627";"Webinar : Getting the Gist of GIS by Natasha Stamler"
"628";"Introduction into GraphXR"
"629";"A Tour of NASA’s Data Universe"
"630";"NASA SpaceApps Challenge 2019"
"631";"R-Ladies Jakarta First Meetup"
"632";"R-Ladies Jakarta Second Meetup: R ABSOLUTE BEGINNER!"
"633";"R-Ladies Jakarta Third Meetup: Data Summary!"
"634";"R-Ladies Jakarta 4th Meetup: Visualization"
"635";"R-Ladies Jakarta 5th Meetup: Classical tests with R! "
"636";"R-Ladies Delhi Meetup #1"
"637";"HacktoberFest "
"638";"Quantile Estimations: Theory & Applications on R by M&S Research Hub"
"639";"Wavelet Applications in Economics & Finance by M&S Research Hub"
"640";"Inaugural Meeting"
"641";"Introduction to R"
"642";"Using web APIs in R"
"643";"Introduction to Shiny Apps"
"644";"Easy data cleaning and manipulation with tidyverse"
"645";"4-Week Introduction to R Workshop"
"646";"4-Week Introduction to R Workshop"
"647";"4-Week Introduction to R Workshop"
"648";"Text Mining/Topic Modelling"
"649";"4-Week Introduction to R Workshop"
"650";"Introduction to Shiny App"
"651";"Last and extra week of 4-Week Introduction to R Workshop!"
"652";"R-Ladies Columbus Meet & Greet"
"653";"Machine Learning with R"
"654";"Debugging in RStudio"
"655";"Data visualization with ggplot2 <U+0001F4CA><U+0001F4C8>"
"656";"Shiny meets Electron:  Turn your Shiny app into a standalone desktop app! "
"657";"Using Git with RStudio Projects"
"658";"useR2018! Conference Recap and Highlights"
"659";"stackoverflow: R-Ladies edition!"
"660";"Tech Holiday Party!"
"661";"RStudio conference Highlights"
"662";"Data visualization with ggplot2 <U+0001F4CA><U+0001F4C8>- Vol 2"
"663";"Hierarchical and Partitioning clustering in R"
"664";"R-Ladies Columbus  & RStudio Mixer!"
"665";"Introduction to RMarkdown"
"666";"useR2019! Recap and overview of the latest and greatest"
"667";"New advancements to tidyr package: Good riddance Gather and Spread! "
"668";"Experience the power of version control! - Use Git with RStudio"
"669";" Spatial Data and Mapping in R"
"670";"Tech Holiday Party! "
"671";"R-Ladies Sydney launch--- Lightning talks"
"672";"R-Curious?"
"673";"Tidyverse for beginners (BYO data)"
"674";"Shiny September: Making an interactive web app with R"
"675";"Machine Learning 101 in R (Part 1)"
"676";"Machine Learning 101 in R (Part 2)"
"677";"RYouWithMe?"
"678";"Raise a glass to 2018!"
"679";"#RYou(Still)WithMe? "
"680";"Bayesian inference with RStan "
"681";"RMarkdown Throwdown"
"682";"#ShutUpandCode"
"683";"Data Science Education ""Resource Hack Day"" "
"684";"#ShutUpandCode"
"685";"RLadies Presents: Twitter Analysis in R"
"686";"Meetup with Hadley Wickham"
"687";"#ShutUpandCode"
"688";"#ShutUpandCode"
"689";"Happy Birthday R-Ladies Sydney!"
"690";"purrr with Rebecca Barter "
"691";"Gold star reproducibility with Saras Windecker"
"692";"Learn to Pivot with Little Miss Tidyverse "
"693";"#ShutUpandCode"
"694";"Plot Twist: 10 Bake Offs, Visualized 11 Ways"
"695";"Gettin' Vizzy Wit It: Tidy Tuesday "
"696";"Bring on 2020!"
"697";"R-Ladies Tampa Meet and Greet"
"698";"Intro to the Tidyverse!"
"699";"Exploring SjPlot!"
"700";"R-Ladies Tampa - GitHub and Version Control"
"701";"Introduction to Machine Learning! With Kathy Joshi from Orlando R-Ladies!"
"702";"R-Ladies Tampa: UseR! 2018 Keynotes!"
"703";"R Ladies Lab!"
"704";"Tidyverse for Beginners!"
"705";"R-Ladies Tampa Holiday Potluck, and More Tidyverse Skills!"
"706";"New Year, New Skills"
"707";"Purrr!"
"708";"TBD"
"709";"R Markdown"
"710";"Fun with Blogdown"
"711";"Map Figures with Jordan C."
"712";"Getting Started with Blogdown "
"713";"tbd"
"714";"Creating Infographics in R!"
"715";"R-Ladies Tampa Holiday Potluck and Beginner Tidyverse Skills<3"
"716";"Tidyverse Skills: GGplot I - Data Visualization"
"717";"Slack Coffee Chat"
"718";"Slack Coffee Chat "
"719";"July Slack Coffee Chat"
"720";"R-Ladies Remote Coffee Chat"
"721";"R-Ladies October Coffee Chat"
"722";"November Coffee Chat"
"723";"December Coffee Chat"
"724";"April Coffee Chat"
"725";"December Coffee Chat"
"726";"1º Meetup R-Ladies Lavras"
"727";"Primer meetup R-Ladies Lima"
"728";"¡Que empiece el juego! - Primeros pasos en R y RStudio."
"729";"Análisis de redes sociales para mejorar el rendimiento de tarjetas de crédito"
"730";"Reportes reproducibles con R"
"731";"¿Cómo ser un outlier en el mundo de los Data Scientists?"
"732";"Analytics con R"
"733";"Minería de textos científicos: ¿Cómo analizar publicaciones sin leerlas?"
"734";"Conhecendo o R-Ladies "
"735";"Accueil des nouveaux membres, présentation de R-Ladies et networking "
"736";"Conversations & coffee: getting RLadies Dallas up and running"
"737";"Filling your data science backpack: applying statistical models to data with R"
"738";"Getting better together: applications of R within the data science workflow"
"739";"Getting better together: applications of R within the data science workflow"
"740";"Coffee & Code"
"741";"Coffee & Code"
"742";"Coffee & Code"
"743";"Coffee & Code"
"744";"Coffee & Code"
"745";"Coffee & Discussion"
"746";"R-Ladies Dallas Meetup: Workshop"
"747";"R-Ladies Dallas goes to Open Data Day"
"748";"September R-Ladies Community Meetup"
"749";"October R-Ladies Community Meetup @ UT-Dallas"
"750";"November R-Ladies Community Meetup"
"751";"First meeting of R-Ladies El Paso"
"752";"R startup & data-wrangling tutorial"
"753";"R startup & data-wrangling tutorial"
"754";"R-Ladies Lancaster Launch!"
"755";"Data Transformation with Tidyverse"
"756";"Pretty Graphics with ggplot2"
"757";"Tidy Data"
"758";"Strings"
"759";"Dates & times with lubridate"
"760";"Launching R- Ladies Amsterdam!"
"761";"Intro to R (for data science) & Lightning Talks"
"762";" Intermediate R- Users workshop- Tidy text mining"
"763";"Show me shiny- an introduction to R Shiny applications"
"764";"Introduction to hidden Markov Chains"
"765";"Efficient R- programming: Speeding up your R- code"
"766";"R Markdown – Composing Reproducible Documents with Graphs and Tables"
"767";"Deep Dive into basic Machine Learning concepts in R"
"768";"Exploring the layers of visualisation- an introduction to ggplot2"
"769";"How to get into and around data science"
"770";"Summer social mingle"
"771";"Building dashboards in R with flexdashboard"
"772";"Machine learning: ensembling and using prediction models with Caret and Shiny"
"773";"Handling missing data in R"
"774";"GitHub 101: Keep better track of your code"
"775";"Winter Code-a-thon Kick-Off (womxn-only)"
"776";"How to create tangible business value with AI"
"777";"Please, explain! Interpretable machine learning based on ranking data"
"778";"Planning meeting"
"779";"R-Ladies Helsinki Kickoff!"
"780";"DevOps for Data Science"
"781";"Genomic data science"
"782";"Writing sharable (R) code. Oh… and sharing it!"
"783";"Intro to Tidyverse "
"784";"R-Ladies summer afterwork/mingle"
"785";"NLP with R"
"786";"ggplot2 for data visualisation"
"787";"Building Dasboards with R Shiny"
"788";"Presentando R-Ladies Mendoza"
"789";"R-Ladies workshop en FLISOL"
"790";"R-Ladies Mendoza: ciencia de datos con R - taller introductorio"
"791";"R-Ladies Mendoza: ciencia de datos con R: tidyverse - taller práctico"
"792";"R-Ladies en FLISOL - workshop - charlas"
"793";"R-Ladies en FLISOL - taller"
"794";"La desigualdad de género se puede medir ¡con R!"
"795";"Taller de Rmarkdown - comunicación en ciencia de datos"
"796";"First RLadies meetup!"
"797";"November R-Ladies meetup"
"798";"February RLadies meetup"
"799";"The grammar of graphics: ggplot2 April RLadies meetup"
"800";"Knowledge Architecture: Framework to extract and share knowledge"
"801";"Collaborative Data Science with Kaggle Kernels and Datasets"
"802";"purrr: Functional programming in R at the April RLadies meetup"
"803";"R Markdown: blogdown and plotly"
"804";"Everything shiny! R-Ladies June meetup"
"805";"Data Visualization! R-Ladies July meetup"
"806";"Writing Programs and Packages in R! R-Ladies August meetup"
"807";"Summer Recap: Data Viz, Packages, Shiny! R-Ladies September meetup"
"808";"Dirty Data! R-Ladies October meetup"
"809";"Code Smells with Jenny Bryan! November R-Ladies meetup"
"810";"Version control with Git and R! R-Ladies December meetup"
"811";"Reducing Bias in Algorithms! R-Ladies January meetup"
"812";"Advanced R Book Club Part 1: Foundations"
"813";"Advanced R Book Club Part 2: Functional Programming"
"814";"Advanced R Book Club Part 3a: Object Oriented Programming"
"815";"Advanced R Book Club Part 3b: Object Oriented Programming"
"816";"Advanced R Book Club Part 4a: Metaprogramming"
"817";"Advanced R Book Club Part 4b: Metaprogramming"
"818";"Advanced R Book Club Part 5: Debugging!"
"819";"Advanced R Book Club Part 6: Performance!"
"820";"End of year shindig! R-Ladies December meetup"
"821";"Being 'inferior' and an intro to Liverpool's female data science group!"
"822";"Kick-off Meeting"
"823";"Karlijn Willems on Data Science with R"
"824";"R-Ladies Leuven March Meetup"
"825";"R-Ladies Leuven April Meetup"
"826";"First R-ladies MeetUp!"
"827";"Second R-ladies MeetUp!"
"828";"Third R-ladies MeetUp!"
"829";"R-Ladies: OktobeRfest + Shiny"
"830";"5 - SpeakeRs Unite! - Round 1"
"831";"6 - RLadies Stammtisch "
"832";"7 - Data Journalism with R: Experiences from the Süddeutsche Zeitung"
"833";"Launching R-Ladies Chicago!"
"834";"Package Workshop & Collaborative Planning"
"835";"Data Visualization Workshop with ggplot2"
"836";"Oktoberfest Edition: Beer-in-Hand Data Science"
"837";"Tidy Data Workflows with Emily Riederer (& Conference Recap)"
"838";"Intro to R Markdown + Collaborative Coding Activity w/Kaylene McClanahan"
"839";"January R-Ladies Community Meetup"
"840";"Make your own R package from scratch with Stephanie Kirmer"
"841";"R-Ladies Chicago + Hadley Wickham: Introduction to tidy evaluation in R"
"842";"Introduction to Spatial Data Analysis and Mapping in R with Angela Li"
"843";"3 Ways to Make a Data Visualization (r/DataIsBeautiful contest) "
"844";"R-Ladies Summer Social: Sip & Code! "
"845";"Game Time! R in Minecraft - Kid-Friendly Event"
"846";"Astrostatistics in R: Predicting Solar Flares"
"847";"Dataviz Study Group: Intro to ggplot2"
"848";"Pro tips: how to start/advance your data science career "
"849";"HacktobeRfest @ Haymarket"
"850";"'Git' down with Git + R (Workshop & Tutorial)"
"851";"DecembeR Holiday Party & Collaborative Planning"
"852";"What We Learned at rstudio::conf 2019: Lightning Talks!"
"853";"Galentine's Day Social and Networking!"
"854";"R-Ladies Chicago welcomes Mara Averick: Sustainers of the Tidyverse"
"855";"Data Visualization with Maps Shiny Workshop"
"856";"Post-SatRday Chicago R-Ladies Meetup!"
"857";"Sip & Code: R-Ladies Chicago Summer Social (round 2!)"
"858";"Animation for Effective Data Visualization with R (Chicago Data Viz Community)"
"859";"Twitter Text Analysis with @WeAreRLadies "
"860";"September Double Header: Make a Personal Website with Blogdown in R"
"861";"September Double Header: Connecting R/RMarkdown & Microsoft Word using StatTag"
"862";"Hacktoberfest: Hack or Treat!"
"863";"R-Ladies Project Night on a Wednesday"
"864";"Reproducible Workflows for Interactive Visualizations with htmlwidgets and Shiny"
"865";"El Faro - Un programa de Ciencia"
"866";"Presentación de R-Ladies y Aplicaciones de R en Santa Rosa"
"867";"Setup R Day"
"868";"Charlando sobre brecha de género en STEM: AgroInformática y R-Ladies"
"869";"La comunidad del lenguaje R en Santa Rosa"
"870";"R desde Cero (primera parte)"
"871";"R desde Cero (primera parte)"
"872";"R desde Cero (primera parte)"
"873";"R desde Cero (primera parte)"
"874";"Becas de diversidad rstudio::conf 2020. Te ayudamos a presentar tu postulación!"
"875";"RMarkdown: generando reportes automáticos con R"
"876";"Primera Reunión de R-Ladies Córdoba"
"877";"Taller de visualización de datos"
"878";"Primer encuentro de R-Ladies La Plata"
"879";"Taller: ""Primeros pasos en R"""
"880";"R-Ladies Ames Launch Party"
"881";"Webscraping using 'tidyverse' packages."
"882";"LunchinatoRs"
"883";"International Women's Day Potluck"
"884";"LunchinatoRs"
"885";"LunchinatoRs"
"886";"LunchinatoRs"
"887";"LunchinatoRs"
"888";"LunchinatoRs"
"889";"LunchinatoRs"
"890";"Let's get Git-ting!"
"891";"LunchinatoRs"
"892";"LunchinatoRs"
"893";"LunchinatoRs"
"894";"LunchinatoRs"
"895";"LunchinatoRs"
"896";"LunchinatoRs"
"897";"LunchinatoRs"
"898";"LunchinatoRs"
"899";"LunchinatoRs"
"900";"LunchinatoRs"
"901";"LunchinatoRs"
"902";"LunchinatoRs"
"903";"LunchinatoRs"
"904";"LunchinatoRs"
"905";"LunchinatoRs"
"906";"LunchinatoRs"
"907";"LunchinatoRs"
"908";"LunchinatoRs"
"909";"LunchinatoRs"
"910";"LunchinatoRs"
"911";"LunchinatoRs"
"912";"LunchinatoRs"
"913";"R-Ladies Ames Welcome (Back) Potluck!"
"914";"LunchinatoRs"
"915";"LunchinatoRs"
"916";"LunchinatoRs"
"917";"LunchinatoRs"
"918";"LunchinatoRs"
"919";"LunchinatoRs"
"920";"LunchinatoRs"
"921";"LunchinatoRs"
"922";"LunchinatoRs"
"923";"LunchinatoRs"
"924";"The Life-Changing Magic of Tidying Data"
"925";"R-Ladies Ames Social: New YeaR's Resolutions"
"926";"A Galentine's Day Special Event: Plotting your data with ggplot2"
"927";"Stats, Machine Learning & the Data Science Career - Gabriela de Queiroz"
"928";"Community & Leadership in R"
"929";"September Social"
"930";"Tidy Tuesdays with R-Ladies Ames "
"931";"Tidy Tuesdays with R-Ladies Ames "
"932";"Tidy Tuesdays with R-Ladies Ames "
"933";"Tidy Tuesdays with R-Ladies Ames "
"934";"Tidy Tuesdays with R-Ladies Ames "
"935";"Tidy Tuesdays with R-Ladies Ames "
"936";"Tidy Tuesdays with R-Ladies Ames "
"937";"Tidy Tuesdays with R-Ladies Ames "
"938";"Tidy Tuesdays with R-Ladies Ames "
"939";"TidyTuesday"
"940";"TidyTuesday"
"941";"TidyTuesday"
"942";"TidyTuesday"
"943";"TidyTuesday"
"944";"TidyTuesday"
"945";"TidyTuesday"
"946";"TidyTuesday"
"947";"Workshop: manipulating data with dply "
"948";"TidyTuesday"
"949";"Kick-off survey"
"950";"Kick-off meet up"
"951";"Introduction to R"
"952";"Introduction to tidy data"
"953";"Statistics: comparing groups"
"954";"Celebrating Ada Lovelace Day"
"955";"New year, new R meetup!"
"956";"Data Visualization with ggplot2 Book Club"
"957";"Workflow optimization with RStudio Book Club"
"958";"Introduction to Text Mining with R"
"959";"Git happieR with GitHub"
"960";"Data Cleaning with R"
"961";"Friday Night Drinks: Philly Women in Data & Tech"
"962";"Thirsty Thursday! NWCT Happy Hour at the Chart House (cross-post from NWCT)"
"963";"Coffee and Coding"
"964";"Data Cleaning in R, Part 2!"
"965";"Learn to make a website with R and blogdown!"
"966";"Dashboards and Apps with Shiny (with Mine Çetinkaya-Rundel, Ph.D.)"
"967";"Workshop on Spatial Data Basics"
"968";"Introduction to Machine Learning  (co-hosted w/ Women in Kaggle Philly!)"
"969";"R-Ladies Philly turns 1!"
"970";"Winter Happy Hour"
"971";"R-Ladies for PAWS (Community Data Project Kickoff)"
"972";"R-Ladies for PAWS (Community Data Project Finale)"
"973";"Open Science and Bioinformatics? April R-Ladies & DataPhilly event"
"974";"Spring Happy Hour"
"975";"Diversity and inclusion and data"
"976";"DataJawn"
"977";"Workshop on Data Visualization"
"978";"Data Science Lightning Talks"
"979";"Summer Happy Hour"
"980";"Code & Coffee"
"981";"PARTNER EVENT: Technical.ly Philly SUPER MEETUP"
"982";"Reporting Research with R Markdown"
"983";"Code & Coffee"
"984";"Network Analysis"
"985";"October Happy Hour"
"986";"Data Analytics in Public Health  "
"987";"Code & Coffee"
"988";"Machine Learning Workshop"
"989";"Primer Meetup de RLadies Montevideo!"
"990";"Visualización de datos con ggplot2"
"991";"Último encuentro del 2017!!"
"992";"Primer encuentro del 2018!"
"993";"¡Segundo meetup: taller de R markdown!"
"994";"Violencia de género: Diseño de estándares y análisis de datos"
"995";"Taller de tidyverse: manipulación y transformación de datos en R. Nivel inicial."
"996";"Evento de fin de año junto con  GURU::mvd "
"997";"¡Primer encuentro del año: taller de Shiny!"
"998";"Meetup: R & educación"
"999";"¡Despedida de año! R-ladies & GURU::mvd"
"1000";"Primera Reunión R-Ladies Rcia-Ctes"
"1001";"Segunda Reunión R-Ladies Rcia-Ctes -R desde Cero"
"1002";"Visualización de datos con ggplot2"
"1003";"Manipulación y Visualización de datos"
"1004";"Primer meetup del año: Taller de RMarkdown!!!"
"1005";"<U+0001F527>Tutorial de manipulación de datos con dplyr"
"1006";"Kick-starting R-Ladies Vancouver!!!!"
"1007";"Feb 2018: R session with Jenny Bryan @ Microsoft Garage"
"1008";"rOpenSci Community meetup"
"1009";"[Postponed]: Learn R - Beginner's workshop"
"1010";"Learn R! - Complete Beginner's workshop"
"1011";"May 2018: Creating interactive data application with R-Shiny for beginners"
"1012";"June 2018: Git and Github for R users with Tiffany Timbers"
"1013";"August 2018: An evening with Hadley Wickham"
"1014";"RLadies Van social with Gabriela de Queiroz"
"1015";"Work-along evening"
"1016";"Introduction to R Markdown"
"1017";"Creating Résumé/CVs in R & Networking night"
"1018";"Cascadia R Conference"
"1019";"DRY out your workflow with the usethis package with Jenny Bryan"
"1020";"Linear Regression and Analysis of Variance with R"
"1021";"Hackseq19"
"1022";"Data visualization lessons from Hackseq"
"1023";"NeurIPS + Women in Machine Learning/Data Science Special "
"1024";"Winter Holiday Fun"
"1025";"R-Ladies Cambridge Organisers kick-off meeting"
"1026";"Inaugural meeting"
"1027";"Introduction to interactive visualizations with Shiny (Tutorial)"
"1028";"Manipulation de données avec dplyr (tutoriel)"
"1029";"Creating reproducible reports and journal articles using RMarkdown"
"1030";"Lightening Q&A of Your R Questions"
"1031";"Introduction to ggplot2"
"1032";"Manipuler et traiter les données manquantes dans R"
"1033";"Data Visualization in R: from exploration to presentation"
"1034";"Retour d'expérience : compétition Kaggle avec R"
"1035";"Analyse sentimentale de tweets + Introduction au web scraping avec rvest"
"1036";"Données géographiques et cartographie sous R"
"1037";"Mixed effects regression models"
"1038";"Tidyverse and puzzles"
"1039";"Fluctuat nec mergitur - How to be a resilient R user ?"
"1040";"Survival analysis + Unleashing the power of biodiversity data with R"
"1041";"fundamental concepts of R & reproducible R Markdown documents"
"1042";"4-5pm R for beginners; after 5pm Lightening Talks and presentations"
"1043";"16:00-17:00 'R Clinic'; after 17:00 'Lightening Talks' and ‘Presentations’"
"1044";"blogdown: Creating Websites with R Markdown"
"1045";"R-Ladies: Networking and Social"
"1046";"tidy your R and get introduced to geospatial analysis"
"1047";"Pre Manchester R meetup food and drink "
"1048";"Let's get together and chat R and eat cake "
"1049";"Hands on Data Study Evening "
"1050";"R over Coffee"
"1051";"Bookclub #1 | Data Imports & Tibbles "
"1052";"Visualisations in R"
"1053";" Women in Tech Xmas Bonanza"
"1054";"Learn to drive R at Autotrader!"
"1055";"R-Ladies Manchester at The Federation"
"1056";"R-Ladies MCR at Thoughtworks"
"1057";"Manchester Hacktoberfest"
"1058";"R-Ladies Manchester Christmas Social"
"1059";"We're having an R-ladies #LdnOnt meet-and-greet."
"1060";"Come join our kick-off R-Ladies #LdnOnt event, featuring an R-Markdown tutorial!"
"1061";"Data Visualization and Graphics!"
"1062";"Intro to R & Github"
"1063";"2D and 3D Graphics in R!"
"1064";"Data manipulation & multivariate analyses!"
"1065";"Co-work drop in session at the London Public Library!"
"1066";"SPSS to R"
"1067";"R & R Studio Basics"
"1068";"Intro to writing scripts in R and RStudio"
"1069";"Linear, Logistic, and Cox Regression: When and How to Run in RStudio"
"1070";"Lightning Talks"
"1071";"Use RMarkdown to generate summary reports and journal articles!"
"1072";"Use R-Shiny to perform interactive data analysis and visualization!"
"1073";"R in Industry"
"1074";"Making science open with R!"
"1075";"Intro to R programming and RStudio"
"1076";"Figuring out figures in R with ggplot!"
"1077";"Transitioning from SPSS to R"
"1078";"Heatmaps and Pointmaps using ggmap"
"1079";"RMarkdown and Bookdown for Dissertating"
"1080";"Data Cleaning and Exploration in R"
"1081";"Intro to R programming and R Studio "
"1082";"Data Visualization"
"1083";"Data Cleaning and Exploration"
"1084";"RMarkdown and Bookdown for Dissertating"
"1085";"Meet & Scheme"
"1086";"Getting Started with R"
"1087";"Social Hour"
"1088";"Lightning talks!"
"1089";"Project Night"
"1090";"Shiny with Wendy Chen"
"1091";"RStudio::conf screening & discussion!"
"1092";"Ice Cream Social!"
"1093";"dplyr 0.7.0 - tidyeval / programming with dplyr"
"1094";"Project Night!"
"1095";"October Meetup & Pre-EARL Boston social event"
"1096";"Writing reports with knitr"
"1097";"Holiday Exodus Pub Night"
"1098";"purrr with Phoebe Wong"
"1099";"Channeling Curiosity into R Data Visualization Projects - with Alex Albright"
"1100";"Bring your problems: ggplot2 edition"
"1101";"Shiny DevOps with Laura Stone"
"1102";"R Ladies - Purely Project Night"
"1103";"That's not [data] science!"
"1104";"R Ladies - Purely Project Night"
"1105";"Ice Cream Social!"
"1106";"API Programming in R via Shiny Applications with Azka Javaid"
"1107";"Project Night"
"1108";"Lightning Talks!"
"1109";"Project Night"
"1110";"Hacktoberfest! and Introduction to Git"
"1111";"Relive the magic: RStudio::conf 2018 videos & discussion"
"1112";"December Pub Nite!"
"1113";"Packages with Juliane Manitz"
"1114";"Enter the Tidyverse after a brief tour of DataMaid"
"1115";"Intro to Shiny"
"1116";"Ice Cream Social"
"1117";"Breaking the Speed Limit [Marianna practices her R in Pharma talk]"
"1118";"WiMLDS and R-Ladies Boston Data Visualization Challenge"
"1119";"R-Ladies Boston & Boston useR Group: Lightning Talks with the Tidyverse Team"
"1120";"December Social"
"1121";"Primer Encuentro R-Ladies Santa Fe"
"1122";"Reunión Online: Sigamos la Charla de Tamara Broderick"
"1123";"Taller: R para Ciencia de Datos Desde Cero"
"1124";"Aplicaciones Reales de R en Argentina y Uruguay"
"1125";"Taller: Algoritmos Básicos de Machine Learning en R"
"1126";"Software Libre   Taller de RMarkdown"
"1127";"¡Despedida de Año! - Charlas y Sorpresas"
"1128";"Taller de R para Principiantes (¡Hola, 2019!)"
"1129";"Aniversario R-Ladies Santa Fe!!"
"1130";"Opciones para el uso de R"
"1131";"R en investigación científica: análisis de redes."
"1132";"R-Ladies Tbilisi Launch"
"1133";"Reading and handling data"
"1134";"Data handling and matrices"
"1135";"Exploring Caucasus Barometer 2015 using R"
"1136";"Different uses of ggplot"
"1137";"Scraping, tidying and plotting html data"
"1138";"T-test!"
"1139";"Linear regression in R"
"1140";"Data visualisation: bar charts, pie charts, pyramid charts"
"1141";"Mapping Georgia"
"1142";"Beginners' Drop - In"
"1143";"Creating and reading R objects and data"
"1144";"Data preparation and manipulation in R"
"1145";"Introduction to Shiny"
"1146";"Informal R-Ladies Tbilisi meetup"
"1147";"Regression models in R"
"1148";"Open-theme meetup"
"1149";"Looping through data"
"1150";"Data visualisation and scraping data from the web"
"1151";"Looping, Scraping, Data Visualisation Vol. 2"
"1152";"String manipulation in R"
"1153";"<U+10D0><U+10E0><U+10E9><U+10D4><U+10D5><U+10DC><U+10D4><U+10D1><U+10D8><U+10E1> <U+10E8><U+10D4><U+10D3><U+10D4><U+10D2><U+10D4><U+10D1><U+10D8><U+10E1> <U+10DE><U+10E0><U+10DD><U+10D2><U+10DC><U+10DD><U+10D6><U+10D8><U+10E0><U+10D4><U+10D1><U+10D0>/ Predicting Election Outcomes"
"1154";"Extracting information from Facebook"
"1155";"Time-series in R"
"1156";"R-Ladies <U+10D7><U+10D1><U+10D8><U+10DA><U+10D8><U+10E1><U+10D8><U+10E1> <U+10D0><U+10EE><U+10D0><U+10DA><U+10D8> <U+10E1><U+10D4><U+10D6><U+10DD><U+10DC><U+10D8>"
"1157";"rmarkdown for beginners"
"1158";"R-Ladies <U+10D7><U+10D1><U+10D8><U+10DA><U+10D8><U+10E1><U+10D8><U+10E1> <U+10D0><U+10EE><U+10D0><U+10DA><U+10D8> <U+10E1><U+10D4><U+10D6><U+10DD><U+10DC><U+10D8> (2)"
"1159";"Shiny!"
"1160";"Basics of machine learning with R"
"1161";"<U+10E1><U+10E2><U+10D0><U+10E2><U+10D8><U+10E1><U+10E2><U+10D8><U+10D9><U+10E3><U+10E0><U+10D8> <U+10D0><U+10DC><U+10D0><U+10DA><U+10D8><U+10D6><U+10D8>"
"1162";"Creating an R package"
"1163";"Data types, indexing, cleaning and preparation - for beginners!"
"1164";"Operators and loops in R - for beginners (<U+10E5><U+10D0><U+10E0><U+10D7><U+10E3><U+10DA> <U+10D4><U+10DC><U+10D0><U+10D6><U+10D4>)"
"1165";"Loops, if-else and apply functions"
"1166";"Caucasus Barometer 2017"
"1167";"RMarkdown - Creating Documents in R (beginners)"
"1168";"Creating a website/ blog"
"1169";"Machine learning with R"
"1170";"Data wrangling"
"1171";"Impromptu beginners' meetup"
"1172";"Survival analysis, news and organisational issues"
"1173";"Hosting Isabella Gollini & Omayma Said"
"1174";"R <U+10DE><U+10D0><U+10D9><U+10D4><U+10E2><U+10D8><U+10E1> <U+10E8><U+10D4><U+10E5><U+10DB><U+10DC><U+10D0> <U+10D9><U+10DD><U+10DB><U+10DE><U+10D0><U+10DC><U+10D8><U+10D8><U+10E1> <U+10E8><U+10D8><U+10D3><U+10D0> <U+10D2><U+10D0><U+10DB><U+10DD><U+10E7><U+10D4><U+10DC><U+10D4><U+10D1><U+10D8><U+10E1><U+10D7><U+10D5><U+10D8><U+10E1>"
"1175";"<U+10D5><U+10D4><U+10D1>-<U+10DB><U+10DD><U+10DC><U+10D0><U+10EA><U+10D4><U+10DB><U+10D7><U+10D0> <U+10DB><U+10DD><U+10DE><U+10DD><U+10D5><U+10D4><U+10D1><U+10D0> R-<U+10D8><U+10D7>"
"1176";"<U+10D3><U+10D0><U+10DB><U+10EC><U+10E7><U+10D4><U+10D1><U+10D7><U+10D0> <U+10E1><U+10D4><U+10DB><U+10D8><U+10DC><U+10D0><U+10E0><U+10D8> (1)"
"1177";"<U+10D3><U+10D0><U+10DB><U+10EC><U+10E7><U+10D4><U+10D1><U+10D7><U+10D0> <U+10E1><U+10D4><U+10DB><U+10D8><U+10DC><U+10D0><U+10E0><U+10D8> (2)"
"1178";"Working with sheets (hosting Ildi Czeller)"
"1179";"R-Ladies Irvine Kickoff!"
"1180";"Navigating the tidyverse: ggplot2"
"1181";"Lightning Talks!"
"1182";"End-Of-Summer Social"
"1183";"Fall 2018 Kickoff: Intro to R!"
"1184";"November 2018 Tutorial: R Markdown and Data Visualization with ggplot2"
"1185";"Happy Shiny New Year!"
"1186";"Pi Day + The Growth of R in the Actuarial Profession"
"1187";"OCRUG/R-Ladies Irvine/OCLB ASA Chapter/IEEE OC CS DataFest Celebration"
"1188";"R-Ladies Irvine @ OC Tech User Groups (OCUG) Summer Bash 2019"
"1189";"R Package Development Workshop"
"1190";"Halloween Hackathon"
"1191";"4th Annual OC Tech User Group Winter Party "
